"eTable 7. Regressions of SCFA serum concentration with respect to sCAGs, ssCAGs, and fCAGs.",,,,,
,,,,,
Short chain fatty acid,SE category,CAG number,beta (95% CI),p-value,FDR strat
Acetic acid,Function,CAG 114,"0.000089 (-0.00017,0.00034)",0.498,1
Isobutyric acid,Function,CAG 115,"-0.000169 (-0.0004,0.00006)",0.161,1
Isovaleric acid,Function,CAG 115,"-0.000179 (-0.00041,0.00005)",0.135,1
Propionic acid ,Function,CAG 115,"-0.000166 (-0.0004,0.00007)",0.166,1
Butyric acid,Function,CAG 115,"-0.000123 (-0.00036,0.00011)",0.304,1
Acetic acid,Function,CAG 115,"-0.000184 (-0.00041,0.00005)",0.122,1
Isobutyric acid,Function,CAG 116,"0.000003 (-0.00003,0.00003)",0.855,1
Isovaleric acid,Function,CAG 116,"0.00001 (-0.00002,0.00004)",0.484,1
Propionic acid ,Function,CAG 116,"0.000022 (-0.00001,0.00005)",0.125,1
Butyric acid,Function,CAG 116,"0.000007 (-0.00002,0.00003)",0.636,1
Acetic acid,Function,CAG 116,"0.000001 (-0.00003,0.00003)",0.943,1
Isobutyric acid,Function,CAG 117,"0.000061 (-0.0003,0.00042)",0.739,1
Isovaleric acid,Function,CAG 117,"0.000035 (-0.00032,0.00039)",0.849,1
Propionic acid ,Function,CAG 117,"-0.000038 (-0.0004,0.00032)",0.837,1
Butyric acid,Function,CAG 117,"-0.000129 (-0.00048,0.00023)",0.48,1
Acetic acid,Function,CAG 117,"0.000228 (-0.00012,0.00058)",0.209,1
Isobutyric acid,Function,CAG 118,"-0.000103 (-0.00053,0.00033)",0.64,1
Isovaleric acid,Function,CAG 118,"-0.000081 (-0.00051,0.00035)",0.714,1
Propionic acid ,Function,CAG 118,"-0.000137 (-0.00056,0.00029)",0.531,1
Butyric acid,Function,CAG 118,"0.000234 (-0.00019,0.00066)",0.281,1
Acetic acid,Function,CAG 118,"-0.000067 (-0.00049,0.00036)",0.757,1
Isobutyric acid,Function,CAG 119,"-0.000064 (-0.00027,0.00014)",0.544,1
Isovaleric acid,Function,CAG 119,"-0.000069 (-0.00027,0.00014)",0.516,1
Propionic acid ,Function,CAG 119,"-0.000092 (-0.0003,0.00011)",0.382,1
Butyric acid,Function,CAG 119,"0.00001 (-0.0002,0.00022)",0.927,1
Acetic acid,Function,CAG 119,"-0.000069 (-0.00027,0.00014)",0.512,1
Isobutyric acid,Function,CAG 120,"-0.000051 (-0.00015,0.00005)",0.31,1
Isovaleric acid,Function,CAG 120,"-0.000041 (-0.00014,0.00006)",0.414,1
Propionic acid ,Function,CAG 120,"-0.000057 (-0.00015,0.00004)",0.25,1
Butyric acid,Function,CAG 120,"-0.000008 (-0.00011,0.00009)",0.869,1
Acetic acid,Function,CAG 120,"0.00001 (-0.00009,0.00011)",0.839,1
Isobutyric acid,Function,CAG 121,"-0.000123 (-0.00045,0.0002)",0.462,1
Isovaleric acid,Function,CAG 121,"-0.000167 (-0.00049,0.00016)",0.316,1
Propionic acid ,Function,CAG 121,"-0.000109 (-0.00044,0.00022)",0.514,1
Butyric acid,Function,CAG 121,"-0.000121 (-0.00045,0.0002)",0.467,1
Acetic acid,Function,CAG 121,"0.000002 (-0.00032,0.00033)",0.992,1
,,,,,
Maaslin2 regression (n=62) analysis adjusting for age and sex. ,,,,,
,,,,,
,,,,,
,,,,,
